,Video.file,Group,Clip.duration,Trial,ID,Experienced,Start..secs.,Tot.start,End..secs.,Tot.end,Behav,Result,SawSuccess,SawInteraction,Attm,success,observe
350,MAH00537,KI,1788,1,OB-X,Yes,70,181,72,183,ODpush,0,1,0,0,0,1
344,MAH00537,KI,1788,1,OB-X,Yes,77,188,80,191,Dpush,1,0,0,0,1,0
337,MAH00535,KI,111,1,OB-X,Yes,80,80,102,102,Dpush,1,0,0,0,1,0
353,MAH00537,KI,1788,1,OB-X,Yes,101,212,108,219,Dpush,1,0,0,0,1,0
401,MAH00537,KI,1788,1,OB-X,Yes,213,324,216,327,Ascrounge,1,0,0,0,0,0
398,MAH00537,KI,1788,1,OB-X,Yes,250,361,254,365,Ascrounge,1,0,0,0,0,0
349,MAH00537,KI,1788,1,OB-X,Yes,280,391,285,396,Ascrounge,1,0,0,0,0,0
393,MAH00537,KI,1788,1,OB-X,Yes,317,428,330,441,Ascrounge,1,0,0,0,0,0
396,MAH00537,KI,1788,1,OB-X,Yes,344,455,349,460,OBattemptD,0,0,1,1,0,1
404,MAH00537,KI,1788,1,OB-X,Yes,371,482,388,499,OBattemptL,0,0,1,1,0,1
374,MAH00537,KI,1788,1,OB-X,Yes,394,505,405,516,BattemptD,0,0,0,1,0,0
360,MAH00537,KI,1788,1,OB-X,Yes,405,516,422,533,Dpush,1,0,0,0,1,0
371,MAH00537,KI,1788,1,OB-X,Yes,422,533,428,539,BattemptD,0,0,0,1,0,0
352,MAH00537,KI,1788,1,OB-X,Yes,428,539,452,563,OBattemptL,0,0,1,1,0,1
362,MAH00537,KI,1788,1,OB-X,Yes,451,562,452,563,ODpush,0,1,0,0,0,1
348,MAH00537,KI,1788,1,OB-X,Yes,652,763,653,764,ODpush,0,1,0,0,0,1
346,MAH00537,KI,1788,1,OB-X,Yes,657,768,673,784,BattemptL,0,0,0,1,0,0
367,MAH00537,KI,1788,1,OB-X,Yes,667,778,667,778,ODpush,0,1,0,0,0,1
397,MAH00537,KI,1788,1,OB-X,Yes,673,784,713,824,Dpush,1,0,0,0,1,0
413,MAH00537,KI,1788,1,OB-X,Yes,695,806,697,808,ODpush,0,1,0,0,0,1
358,MAH00537,KI,1788,1,OB-X,Yes,819,930,827,938,Bscrounge,1,0,0,0,0,0
357,MAH00537,KI,1788,1,OB-X,Yes,824,935,827,938,ODpush,0,1,0,0,0,1
364,MAH00537,KI,1788,1,OB-X,Yes,862,973,865,976,ODpush,0,1,0,0,0,1
342,MAH00537,KI,1788,1,OB-X,Yes,928,1039,933,1044,ODpush,0,1,0,0,0,1
384,MAH00537,KI,1788,1,OB-X,Yes,968,1079,974,1085,ODpush,0,1,0,0,0,1
356,MAH00537,KI,1788,1,OB-X,Yes,976,1087,980,1091,ODpush,0,1,0,0,0,1
361,MAH00537,KI,1788,1,OB-X,Yes,984,1095,989,1100,ODattempt,0,0,1,1,0,1
351,MAH00537,KI,1788,1,OB-X,Yes,990,1101,992,1103,Dpush,1,0,0,0,1,0
411,MAH00537,KI,1788,1,OB-X,Yes,1185,1296,1191,1302,Ascrounge,1,0,0,0,0,0
340,MAH00537,KI,1788,1,OB-X,Yes,1236,1347,1265,1376,Ascrounge,1,0,0,0,0,0
339,MAH00537,KI,1788,1,OB-X,Yes,1265,1376,1270,1381,BattemptD,0,0,0,1,0,0
390,MAH00537,KI,1788,1,OB-X,Yes,1306,1417,1312,1423,Ascrounge,1,0,0,0,0,0
354,MAH00537,KI,1788,1,OB-X,Yes,1330,1441,1334,1445,Bscrounge,1,0,0,0,0,0
409,MAH00537,KI,1788,1,OB-X,Yes,1667,1778,1674,1785,BattemptD,0,0,0,1,0,0
375,MAH00537,KI,1788,1,OB-X,Yes,1674,1785,1683,1794,OBupT,0,1,0,0,0,1
355,MAH00537,KI,1788,1,OB-X,Yes,1782,1893,1790,1901,CattemptD,0,0,0,1,0,0
345,MAH00537,KI,1788,1,OB-X,Yes,1790,1901,1790,1901,Bscrounge,1,0,0,0,0,0
392,MAH00537,KI,1788,1,XYG-GRO,Yes,48,159,57,168,AattemptL,0,0,0,1,0,0
406,MAH00537,KI,1788,1,XYG-GRO,Yes,153,264,157,268,Alog,1,0,0,0,1,0
408,MAH00537,KI,1788,1,XYG-GRO,Yes,195,306,197,308,AattemptL,0,0,0,1,0,0
