,Video.file,Group,Clip.duration,Trial,ID,Experienced,Start..secs.,Tot.start,End..secs.,Tot.end,Behav,Result,SawSuccess,SawInteraction,Attm,success,observe
432,MAH00542,TK,1790,1,OOM-XRR,Yes,617,617,634,634,Dpush,1,0,0,0,1,0
476,MAH00543,TK,918,1,OOM-XRR,Yes,677,2467,678,2468,Bscrounge,1,0,0,0,0,0
468,MAH00543,TK,918,1,OOM-XRR,Yes,734,2524,737,2527,Bscrounge,1,0,0,0,0,0
433,MAH00542,TK,1790,1,OOM-XRR,Yes,778,778,796,796,BattemptD,0,0,0,1,0,0
447,MAH00542,TK,1790,1,OOM-XRR,Yes,796,796,811,811,Dpush,1,0,0,0,1,0
489,MAH00543,TK,918,1,OOM-XRR,Yes,850,2640,855,2645,Dpush,1,0,0,0,1,0
435,MAH00542,TK,1790,1,OOM-XRR,Yes,889,889,917,917,Dpush,1,0,0,0,1,0
444,MAH00542,TK,1790,1,OOM-XRR,Yes,1073,1073,1089,1089,Dpush,1,0,0,0,1,0
431,MAH00542,TK,1790,1,OOM-XRR,Yes,1360,1360,1399,1399,OAattemptL,0,0,1,1,0,1
422,MAH00542,TK,1790,1,OOM-XRR,Yes,1399,1399,1419,1419,Dpush,1,0,0,0,1,0
425,MAH00542,TK,1790,1,OOM-XRR,Yes,1558,1558,1574,1574,Dpush,1,0,0,0,1,0
428,MAH00542,TK,1790,1,OOM-XRR,Yes,1624,1624,1644,1644,Ascrounge,1,0,0,0,0,0
418,MAH00542,TK,1790,1,WOX-RMM,Yes,371,371,378,378,ODpush,0,1,0,0,0,1
457,MAH00542,TK,1790,1,WOX-RMM,Yes,409,409,410,410,ODpush,0,1,0,0,0,1
429,MAH00542,TK,1790,1,WOX-RMM,Yes,484,484,485,485,ODattempt,0,0,1,1,0,1
466,MAH00543,TK,918,1,YR-X,No,186,1976,233,2023,OBattemptD,0,0,1,1,0,1
485,MAH00543,TK,918,1,YR-X,No,241,2031,272,2062,OAattemptD,0,0,1,1,0,1
449,MAH00542,TK,1790,1,YR-X,No,389,389,399,399,ODpush,0,1,0,0,0,1
453,MAH00542,TK,1790,1,YR-X,No,409,409,410,410,Dpush,1,0,0,0,1,0
430,MAH00542,TK,1790,1,YR-X,No,484,484,485,485,Dattempt,0,0,0,1,0,0
493,MAH00543,TK,918,1,YR-X,No,501,2291,501,2291,Ascrounge,1,0,0,0,0,0
443,MAH00542,TK,1790,1,YR-X,No,528,528,534,534,Dpush,1,0,0,0,1,0
426,MAH00542,TK,1790,1,YR-X,No,534,534,571,571,ODpush,0,1,0,0,0,1
434,MAH00542,TK,1790,1,YR-X,No,569,569,576,576,Dpush,1,0,0,0,1,0
497,MAH00543,TK,918,1,YR-X,No,585,2375,596,2386,OBattemptL,0,0,1,1,0,1
496,MAH00543,TK,918,1,YR-X,No,601,2391,602,2392,BattemptD,0,0,0,1,0,0
473,MAH00543,TK,918,1,YR-X,No,617,2407,617,2407,BattemptD,0,0,0,1,0,0
500,MAH00543,TK,918,1,YR-X,No,681,2471,682,2472,Bscrounge,1,0,0,0,0,0
454,MAH00542,TK,1790,1,YR-X,No,741,741,750,750,Dpush,1,0,0,0,1,0
437,MAH00542,TK,1790,1,YR-X,No,889,889,917,917,ODpush,0,1,0,0,0,1
416,MAH00542,TK,1790,1,YR-X,No,933,933,934,934,BattemptD,0,0,0,1,0,0
417,MAH00542,TK,1790,1,YR-X,No,970,970,971,971,BattemptD,0,0,0,1,0,0
415,MAH00542,TK,1790,1,YR-X,No,1073,1073,1089,1089,ODpush,0,1,0,0,0,1
461,MAH00542,TK,1790,1,YR-X,No,1360,1360,1399,1399,OAattemptL,0,0,1,1,0,1
102,HDV_1091,TK,840,2,BGX-OVP,Yes,28,3591,100,3663,Alog,1,0,0,0,1,0
97,HDV_1091,TK,840,2,BGX-OVP,Yes,50,3613,50,3613,BattemptD,0,0,0,1,0,0
98,HDV_1091,TK,840,2,BGX-OVP,Yes,69,3632,69,3632,BattemptD,0,0,0,1,0,0
121,HDV_1092,TK,659,2,BGX-OVP,Yes,72,4475,128,4531,Alog,1,0,0,0,1,0
87,HDV_1090,TK,855,2,BGX-OVP,Yes,105,2813,118,2826,OBattemptD,0,0,1,1,0,1
81,HDV_1090,TK,855,2,BGX-OVP,Yes,118,2826,180,2888,OAattemptL,0,0,1,1,0,1
128,HDV_1092,TK,659,2,BGX-OVP,Yes,128,4531,132,4535,Ascrounge,1,0,0,0,0,0
103,HDV_1091,TK,840,2,BGX-OVP,Yes,172,3735,245,3808,Ascrounge,1,0,0,0,0,0
124,HDV_1092,TK,659,2,BGX-OVP,Yes,266,4669,278,4681,Dattempt,0,0,0,1,0,0
132,HDV_1092,TK,659,2,BGX-OVP,Yes,278,4681,329,4732,BattemptD,0,0,0,1,0,0
88,HDV_1090,TK,855,2,BGX-OVP,Yes,329,3037,394,3102,Alog,1,0,0,0,1,0
104,HDV_1092,TK,659,2,BGX-OVP,Yes,329,4732,329,4732,Dattempt,0,0,0,1,0,0
91,HDV_1091,TK,840,2,BGX-OVP,Yes,343,3906,379,3942,Ascrounge,1,0,0,0,0,0
80,HDV_1090,TK,855,2,BGX-OVP,Yes,394,3102,399,3107,Ascrounge,1,0,0,0,0,0
94,HDV_1091,TK,840,2,BGX-OVP,Yes,494,4057,551,4114,BattemptL,0,0,0,1,0,0
122,HDV_1092,TK,659,2,BGX-OVP,Yes,543,4946,552,4955,AattemptL,0,0,0,1,0,0
125,HDV_1092,TK,659,2,BGX-OVP,Yes,552,4955,561,4964,Dpush,1,0,0,0,1,0
83,HDV_1090,TK,855,2,BGX-OVP,Yes,734,3442,762,3470,Ascrounge,1,0,0,0,0,0
95,HDV_1091,TK,840,2,BGX-OVP,Yes,748,4311,776,4339,Dpush,1,0,1,0,1,0
100,HDV_1091,TK,840,2,BGX-OVP,Yes,820,4383,826,4389,Dpush,1,0,1,0,1,0
123,HDV_1092,TK,659,2,BOX-KBS,No,57,4460,64,4467,AattemptL,0,0,0,1,0,0
126,HDV_1092,TK,659,2,GOR-RYX,Yes,57,4460,64,4467,OAattemptL,0,0,1,1,0,1
107,HDV_1092,TK,659,2,GOR-RYX,Yes,72,4475,128,4531,OAlog,0,1,0,0,0,1
111,HDV_1092,TK,659,2,GOR-RYX,Yes,266,4669,278,4681,ODattempt,0,0,1,1,0,1
115,HDV_1092,TK,659,2,KVV-BPX,No,72,4475,128,4531,OAlog,0,1,0,0,0,1
105,HDV_1092,TK,659,2,OOM-XRR,Yes,72,4475,128,4531,OAlog,0,1,0,0,0,1
120,HDV_1092,TK,659,2,OOM-XRR,Yes,105,4508,107,4510,Ascrounge,1,0,0,0,0,0
89,HDV_1090,TK,855,2,OOM-XRR,Yes,118,2826,180,2888,OAattemptL,0,0,1,1,0,1
116,HDV_1092,TK,659,2,OOM-XRR,Yes,140,4543,147,4550,Ascrounge,1,0,0,0,0,0
130,HDV_1092,TK,659,2,OOM-XRR,Yes,278,4681,329,4732,OBattemptD,0,0,1,1,0,1
106,HDV_1092,TK,659,2,OOM-XRR,Yes,336,4739,481,4884,OBattemptD,0,0,1,1,0,1
108,HDV_1092,TK,659,2,OOM-XRR,Yes,543,4946,552,4955,OAattemptL,0,0,1,1,0,1
129,HDV_1092,TK,659,2,OOM-XRR,Yes,552,4955,561,4964,ODpush,0,1,0,0,0,1
85,HDV_1090,TK,855,2,OOM-XRR,Yes,582,3290,582,3290,Ascrounge,1,0,0,0,0,0
79,HDV_1090,TK,855,2,OOM-XRR,Yes,672,3380,676,3384,Ascrounge,1,0,0,0,0,0
86,HDV_1090,TK,855,2,OOM-XRR,Yes,801,3509,828,3536,Dpush,1,0,0,0,1,0
99,HDV_1091,TK,840,2,PBR-BOX,Yes,28,3591,100,3663,OAlog,0,1,0,0,0,1
109,HDV_1092,TK,659,2,PBR-BOX,Yes,219,4622,219,4622,Ascrounge,1,0,0,0,0,0
110,HDV_1092,TK,659,2,PBR-BOX,Yes,336,4739,481,4884,BattemptD,0,0,0,1,0,0
101,HDV_1091,TK,840,2,PBR-BOX,Yes,494,4057,551,4114,OBattemptL,0,0,1,1,0,1
131,HDV_1092,TK,659,2,PBR-BOX,Yes,552,4955,561,4964,ODpush,0,1,0,0,0,1
112,HDV_1092,TK,659,2,ROR-YXG,No,278,4681,329,4732,OBattemptD,0,0,1,1,0,1
113,HDV_1092,TK,659,2,RSB-GBX,No,57,4460,64,4467,OAattemptL,0,0,1,1,0,1
117,HDV_1092,TK,659,2,XRB-GPG,No,72,4475,128,4531,OAlog,0,1,0,0,0,1
93,HDV_1091,TK,840,2,YR-X,No,104,3667,109,3672,Ascrounge,1,0,0,0,0,0
82,HDV_1090,TK,855,2,YR-X,No,105,2813,118,2826,BattemptD,0,0,0,1,0,0
90,HDV_1090,TK,855,2,YR-X,No,118,2826,180,2888,AattemptL,0,0,0,1,0,0
114,HDV_1092,TK,659,2,YR-X,No,207,4610,213,4616,Ascrounge,1,0,0,0,0,0
96,HDV_1091,TK,840,2,YR-X,No,323,3886,324,3887,Ascrounge,1,0,0,0,0,0
84,HDV_1090,TK,855,2,YR-X,No,329,3037,394,3102,OAlog,0,1,0,0,0,1
78,HDV_1090,TK,855,2,YR-X,No,414,3122,414,3122,Ascrounge,1,0,0,0,0,0
92,HDV_1091,TK,840,2,YR-X,No,494,4057,551,4114,OBattemptL,0,0,1,1,0,1
127,HDV_1092,TK,659,2,YR-X,No,543,4946,552,4955,OAattemptL,0,0,1,1,0,1
119,HDV_1092,TK,659,2,YR-X,No,552,4955,561,4964,ODpush,0,1,0,0,0,1
118,HDV_1092,TK,659,2,YR-X,No,579,4982,585,4988,BattemptD,0,0,0,1,0,0
561,MAH02082,TK,633,3,BGX-OVP,Yes,46,5108,100,5162,Alog,1,0,0,0,1,0
597,MAH02084,TK,406,3,BGX-OVP,Yes,93,6507,99,6513,BattemptD,0,0,0,1,0,0
608,MAH02084,TK,406,3,BGX-OVP,Yes,99,6513,102,6516,AattemptD,0,0,0,1,0,0
558,MAH02082,TK,633,3,BGX-OVP,Yes,100,5162,105,5167,Ascrounge,1,0,0,0,0,0
606,MAH02084,TK,406,3,BGX-OVP,Yes,102,6516,135,6549,BdownT,1,0,0,0,1,0
618,MAH02084,TK,406,3,BGX-OVP,Yes,135,6549,155,6569,B,1,0,0,0,1,0
574,MAH02083,TK,719,3,BGX-OVP,Yes,155,5850,170,5865,AattemptD,0,0,0,1,0,0
588,MAH02083,TK,719,3,BGX-OVP,Yes,170,5865,197,5892,OAattemptD,0,0,1,1,0,1
579,MAH02083,TK,719,3,BGX-OVP,Yes,197,5892,220,5915,OCattemptD,0,0,1,1,0,1
575,MAH02083,TK,719,3,BGX-OVP,Yes,231,5926,235,5930,AattemptD,0,0,0,1,0,0
580,MAH02083,TK,719,3,BGX-OVP,Yes,235,5930,241,5936,Ascrounge,1,0,0,0,0,0
568,MAH02082,TK,633,3,BGX-OVP,Yes,251,5313,279,5341,Ascrounge,1,0,0,0,0,0
563,MAH02082,TK,633,3,BGX-OVP,Yes,279,5341,298,5360,BattemptD,0,0,0,1,0,0
569,MAH02082,TK,633,3,BGX-OVP,Yes,298,5360,331,5393,Dpush,1,0,0,0,1,0
601,MAH02084,TK,406,3,BGX-OVP,Yes,304,6718,317,6731,B,1,0,0,0,1,0
613,MAH02084,TK,406,3,BGX-OVP,Yes,317,6731,326,6740,BattemptD,0,0,0,1,0,0
605,MAH02084,TK,406,3,BGX-OVP,Yes,326,6740,339,6753,A,1,0,0,0,1,0
582,MAH02083,TK,719,3,BGX-OVP,Yes,359,6054,433,6128,AattemptL,0,0,0,1,0,0
591,MAH02083,TK,719,3,BGX-OVP,Yes,463,6158,495,6190,AattemptL,0,0,0,1,0,0
556,MAH02082,TK,633,3,BGX-OVP,Yes,524,5586,580,5642,BdownT,1,0,0,0,1,0
595,MAH02083,TK,719,3,BGX-OVP,Yes,527,6222,543,6238,AattemptL,0,0,0,1,0,0
581,MAH02083,TK,719,3,BGX-OVP,Yes,543,6238,547,6242,BattemptD,0,0,0,1,0,0
576,MAH02083,TK,719,3,BGX-OVP,Yes,547,6242,578,6273,AattemptL,0,0,0,1,0,0
590,MAH02083,TK,719,3,BGX-OVP,Yes,578,6273,592,6287,BattemptD,0,0,0,1,0,0
586,MAH02083,TK,719,3,BGX-OVP,Yes,592,6287,664,6359,AattemptL,0,0,0,1,0,0
592,MAH02083,TK,719,3,BGX-OVP,Yes,664,6359,669,6364,BattemptD,0,0,0,1,0,0
593,MAH02083,TK,719,3,BGX-OVP,Yes,669,6364,711,6406,AattemptL,0,0,0,1,0,0
583,MAH02083,TK,719,3,BXB-BSB,Yes,248,5943,255,5950,BdownT,1,0,0,0,1,0
584,MAH02083,TK,719,3,BXB-BSB,Yes,359,6054,433,6128,OAattemptL,0,0,1,1,0,1
587,MAH02083,TK,719,3,BXB-BSB,Yes,359,6054,433,6128,OAattemptL,0,0,1,1,0,1
555,MAH02082,TK,633,3,OOM-XRR,Yes,46,5108,100,5162,OAlog,0,1,0,0,0,1
562,MAH02082,TK,633,3,OOM-XRR,Yes,114,5176,117,5179,Ascrounge,1,0,0,0,0,0
602,MAH02084,TK,406,3,OOM-XRR,Yes,135,6549,155,6569,OB,0,1,0,0,0,1
594,MAH02083,TK,719,3,OOM-XRR,Yes,155,5850,170,5865,OAattemptD,0,0,1,1,0,1
612,MAH02084,TK,406,3,OOM-XRR,Yes,161,6575,167,6581,BattemptD,0,0,0,1,0,0
609,MAH02084,TK,406,3,OOM-XRR,Yes,167,6581,189,6603,OAlog,0,1,0,0,0,1
573,MAH02082,TK,633,3,OOM-XRR,Yes,298,5360,331,5393,ODpush,0,1,0,0,0,1
604,MAH02084,TK,406,3,OOM-XRR,Yes,317,6731,326,6740,OBattemptD,0,0,1,1,0,1
611,MAH02084,TK,406,3,OOM-XRR,Yes,326,6740,339,6753,OA,0,1,0,0,0,1
599,MAH02084,TK,406,3,OOM-XRR,Yes,352,6766,371,6785,OBattemptD,0,0,1,1,0,1
560,MAH02082,TK,633,3,OOM-XRR,Yes,384,5446,418,5480,OCattemptD,0,0,1,1,0,1
565,MAH02082,TK,633,3,OOM-XRR,Yes,450,5512,482,5544,Dpush,1,0,0,0,1,0
598,MAH02084,TK,406,3,PBR-BOX,Yes,40,6454,64,6478,AattemptD,0,0,0,1,0,0
571,MAH02082,TK,633,3,PBR-BOX,Yes,46,5108,100,5162,OAlog,0,1,0,0,0,1
564,MAH02082,TK,633,3,PBR-BOX,Yes,137,5199,138,5200,Ascrounge,1,0,0,0,0,0
577,MAH02083,TK,719,3,PBR-BOX,Yes,155,5850,170,5865,OAattemptD,0,0,1,1,0,1
614,MAH02084,TK,406,3,PBR-BOX,Yes,161,6575,167,6581,OBattemptD,0,0,1,1,0,1
617,MAH02084,TK,406,3,PBR-BOX,Yes,167,6581,189,6603,Alog,1,0,0,0,1,0
589,MAH02083,TK,719,3,PBR-BOX,Yes,170,5865,197,5892,AattemptD,0,0,0,1,0,0
578,MAH02083,TK,719,3,PBR-BOX,Yes,197,5892,220,5915,CattemptD,0,0,0,1,0,0
566,MAH02082,TK,633,3,PBR-BOX,Yes,384,5446,418,5480,CattemptD,0,0,0,1,0,0
567,MAH02082,TK,633,3,PBR-BOX,Yes,450,5512,482,5544,ODpush,0,1,0,0,0,1
572,MAH02082,TK,633,3,PBR-BOX,Yes,501,5563,518,5580,OCattemptD,0,0,1,1,0,1
600,MAH02084,TK,406,3,YR-X,No,40,6454,64,6478,OAattemptD,0,0,1,1,0,1
610,MAH02084,TK,406,3,YR-X,No,102,6516,135,6549,OBdownT,0,1,0,0,0,1
557,MAH02082,TK,633,3,YR-X,No,108,5170,108,5170,Ascrounge,1,0,0,0,0,0
607,MAH02084,TK,406,3,YR-X,No,161,6575,167,6581,OBattemptD,0,0,1,1,0,1
559,MAH02082,TK,633,3,YR-X,No,163,5225,163,5225,Ascrounge,1,0,0,0,0,0
596,MAH02084,TK,406,3,YR-X,No,167,6581,189,6603,OAattemptL,0,1,0,1,0,1
570,MAH02082,TK,633,3,YR-X,No,298,5360,331,5393,ODpush,0,1,0,0,0,1
616,MAH02084,TK,406,3,YR-X,No,317,6731,326,6740,OBattemptD,0,0,1,1,0,1
603,MAH02084,TK,406,3,YR-X,No,326,6740,339,6753,OA,0,1,0,0,0,1
615,MAH02084,TK,406,3,YR-X,No,352,6766,371,6785,BattemptD,0,0,0,1,0,0
585,MAH02083,TK,719,3,YR-X,No,359,6054,433,6128,OAattemptL,0,0,1,1,0,1
553,MAH02082,TK,633,3,YR-X,No,384,5446,418,5480,OCattemptD,0,0,1,1,0,1
554,MAH02082,TK,633,3,YR-X,No,501,5563,518,5580,CattemptD,0,0,0,1,0,0
258,HDV_1120,TK,578,4,BGX-OVP,Yes,75,7869,87,7881,AattemptD,0,0,0,1,0,0
249,HDV_1120,TK,578,4,BGX-OVP,Yes,87,7881,93,7887,Bscrounge,1,0,0,0,0,0
232,HDV_1118,TK,506,4,BGX-OVP,Yes,162,6982,208,7028,AattemptD,0,0,0,1,0,0
239,HDV_1119,TK,468,4,BGX-OVP,Yes,246,7572,254,7580,AattemptD,0,0,0,1,0,0
236,HDV_1119,TK,468,4,BGX-OVP,Yes,254,7580,279,7605,CattemptD,0,0,0,1,0,0
225,HDV_1118,TK,506,4,BGX-OVP,Yes,259,7079,265,7085,Dattempt,0,0,0,1,0,0
228,HDV_1118,TK,506,4,BGX-OVP,Yes,265,7085,331,7151,Ajiggle,1,0,0,0,1,0
251,HDV_1120,TK,578,4,BGX-OVP,Yes,269,8063,326,8120,AattemptL,0,0,0,1,0,0
238,HDV_1119,TK,468,4,BGX-OVP,Yes,279,7605,325,7651,Ajiggle,1,0,0,0,1,0
250,HDV_1120,TK,578,4,BGX-OVP,Yes,326,8120,362,8156,CattemptD,0,0,0,1,0,0
221,HDV_1118,TK,506,4,BGX-OVP,Yes,405,7225,447,7267,Bjiggle,1,0,0,0,1,0
222,HDV_1118,TK,506,4,BGX-OVP,Yes,447,7267,455,7275,Bscrounge,1,0,0,0,0,0
255,HDV_1120,TK,578,4,BGX-OVP,Yes,451,8245,507,8301,Alog,1,0,0,0,1,0
259,HDV_1120,TK,578,4,BGX-OVP,Yes,573,8367,578,8372,Ascrounge,1,0,0,0,0,0
261,HDV_1120,TK,578,4,BXB-BSB,Yes,59,7853,66,7860,CattemptD,0,0,0,1,0,0
253,HDV_1120,TK,578,4,BXB-BSB,Yes,66,7860,71,7865,BdownT,1,0,0,0,1,0
237,HDV_1119,TK,468,4,BXB-BSB,Yes,79,7405,89,7415,OAattemptD,0,0,1,1,0,1
248,HDV_1119,TK,468,4,BXB-BSB,Yes,97,7423,108,7434,BdownT,1,0,0,0,1,0
235,HDV_1119,TK,468,4,BXB-BSB,Yes,167,7493,184,7510,B,1,0,0,0,1,0
241,HDV_1119,TK,468,4,BXB-BSB,Yes,279,7605,325,7651,OAjiggle,0,1,0,0,0,1
233,HDV_1118,TK,506,4,BXB-BSB,Yes,342,7162,343,7163,Ascrounge,1,0,0,0,0,0
246,HDV_1119,TK,468,4,BXB-BSB,Yes,397,7723,417,7743,BattemptL,0,0,0,1,0,0
242,HDV_1119,TK,468,4,BXB-BSB,Yes,417,7743,429,7755,CattemptD,0,0,0,1,0,0
263,HDV_1120,TK,578,4,BXB-BSB,Yes,451,8245,507,8301,OAlog,0,1,0,0,0,1
254,HDV_1120,TK,578,4,BXB-BSB,Yes,529,8323,539,8333,Ascrounge,1,0,0,0,0,0
243,HDV_1119,TK,468,4,OOM-XRR,Yes,79,7405,89,7415,AattemptD,0,0,0,1,0,0
229,HDV_1118,TK,506,4,OOM-XRR,Yes,265,7085,331,7151,OAjiggle,0,1,0,0,0,1
247,HDV_1119,TK,468,4,OOM-XRR,Yes,279,7605,325,7651,OAjiggle,0,1,0,0,0,1
245,HDV_1119,TK,468,4,OOM-XRR,Yes,325,7651,340,7666,Ascrounge,1,0,0,0,0,0
223,HDV_1118,TK,506,4,OOM-XRR,Yes,335,7155,335,7155,Ascrounge,1,0,0,0,0,0
227,HDV_1118,TK,506,4,OOM-XRR,Yes,396,7216,400,7220,Ascrounge,1,0,0,0,0,0
257,HDV_1120,TK,578,4,PBR-BOX,Yes,509,8303,513,8307,Ascrounge,1,0,0,0,0,0
260,HDV_1120,TK,578,4,YR-X,No,75,7869,87,7881,OAattemptD,0,0,1,1,0,1
256,HDV_1120,TK,578,4,YR-X,No,94,7888,98,7892,Bscrounge,1,0,0,0,0,0
234,HDV_1119,TK,468,4,YR-X,No,120,7446,130,7456,Bscrounge,1,0,0,0,0,0
224,HDV_1118,TK,506,4,YR-X,No,259,7079,265,7085,ODattempt,0,0,1,1,0,1
231,HDV_1118,TK,506,4,YR-X,No,265,7085,331,7151,OAjiggle,0,1,0,0,0,1
240,HDV_1119,TK,468,4,YR-X,No,279,7605,325,7651,OAjiggle,0,1,0,0,0,1
244,HDV_1119,TK,468,4,YR-X,No,333,7659,339,7665,Ascrounge,1,0,0,0,0,0
230,HDV_1118,TK,506,4,YR-X,No,338,7158,338,7158,Ascrounge,1,0,0,0,0,0
226,HDV_1118,TK,506,4,YR-X,No,405,7225,447,7267,OBjiggle,0,1,0,0,0,1
262,HDV_1120,TK,578,4,YR-X,No,451,8245,507,8301,OAlog,0,1,0,0,0,1
252,HDV_1120,TK,578,4,YR-X,No,513,8307,515,8309,Ascrounge,1,0,0,0,0,0
220,HDV_1116,UC,392,1,BX-SVG,Yes,130,1037,163,1070,AattemptD,0,0,0,1,0,0
211,HDV_1115,UC,907,1,BX-SVG,Yes,137,137,142,142,Dattempt,0,0,0,1,0,0
213,HDV_1116,UC,392,1,BX-SVG,Yes,163,1070,179,1086,BattemptD,0,0,0,1,0,0
212,HDV_1116,UC,392,1,BX-SVG,Yes,179,1086,201,1108,AattemptD,0,0,0,1,0,0
216,HDV_1116,UC,392,1,GVX-GSS,No,179,1086,201,1108,OAattemptD,0,0,1,1,0,1
215,HDV_1116,UC,392,1,KPX-BSP,No,130,1037,163,1070,OAattemptD,0,0,1,1,0,1
218,HDV_1116,UC,392,1,KPX-BSP,No,179,1086,201,1108,OAattemptD,0,0,1,1,0,1
217,HDV_1116,UC,392,1,KPX-BSP,No,224,1131,261,1168,Dpush,1,0,0,0,1,0
219,HDV_1116,UC,392,1,RBX-WVP,No,224,1131,261,1168,ODpush,0,1,0,0,0,1
214,HDV_1116,UC,392,1,WSX-GPV,No,224,1131,261,1168,ODpush,0,1,0,0,0,1
209,HDV_1113,UC,907,2,BX-SVG,Yes,99,1398,113,1412,BattemptD,0,0,0,1,0,0
210,HDV_1113,UC,907,2,BX-SVG,Yes,207,1506,235,1534,AattemptL,0,0,0,1,0,0
549,MAH00544,XMO,1579,1,BYP-OWX,Yes,839,839,893,893,OAattemptL,0,0,1,1,0,1
510,MAH00544,XMO,1579,1,GOR-RYX,Yes,325,325,325,325,CattemptD,0,0,0,1,0,0
547,MAH00544,XMO,1579,1,GOR-RYX,Yes,346,346,347,347,BupT,1,0,0,0,1,0
535,MAH00544,XMO,1579,1,GOR-RYX,Yes,425,425,429,429,B,1,0,0,0,1,0
531,MAH00544,XMO,1579,1,GOR-RYX,Yes,562,562,565,565,Bscrounge,1,0,0,0,0,0
541,MAH00544,XMO,1579,1,GOR-RYX,Yes,680,680,685,685,AattemptL,0,0,0,1,0,0
509,MAH00544,XMO,1579,1,GOR-RYX,Yes,701,701,705,705,Ascrounge,1,0,0,0,0,0
513,MAH00544,XMO,1579,1,GOR-RYX,Yes,770,770,874,874,OAattemptL,0,0,1,1,0,1
550,MAH00544,XMO,1579,1,GOR-RYX,Yes,813,813,839,839,CattemptD,0,0,0,1,0,0
520,MAH00544,XMO,1579,1,GOR-RYX,Yes,839,839,893,893,AattemptL,0,0,0,1,0,0
517,MAH00544,XMO,1579,1,GOR-RYX,Yes,1151,1151,1159,1159,BattemptL,0,0,0,1,0,0
516,MAH00544,XMO,1579,1,GOR-RYX,Yes,1159,1159,1166,1166,AattemptD,0,0,0,1,0,0
506,MAH00544,XMO,1579,1,GOR-RYX,Yes,1166,1166,1172,1172,BattemptD,0,0,0,1,0,0
536,MAH00544,XMO,1579,1,GOR-RYX,Yes,1172,1172,1180,1180,CattemptD,0,0,0,1,0,0
533,MAH00544,XMO,1579,1,GOR-RYX,Yes,1180,1180,1183,1183,BattemptL,0,0,0,1,0,0
523,MAH00544,XMO,1579,1,GOR-RYX,Yes,1183,1183,1192,1192,AattemptD,0,0,0,1,0,0
528,MAH00544,XMO,1579,1,GOR-RYX,Yes,1307,1307,1314,1314,Dpush,1,0,0,0,1,0
534,MAH00544,XMO,1579,1,GOR-RYX,Yes,1395,1395,1397,1397,Dpush,1,0,0,0,1,0
511,MAH00544,XMO,1579,1,GOR-RYX,Yes,1440,1440,1447,1447,Dpush,1,0,0,0,1,0
519,MAH00544,XMO,1579,1,MOR-GGM,No,325,325,325,325,OCattemptD,0,0,1,1,0,1
524,MAH00544,XMO,1579,1,MOR-GGM,No,384,384,396,396,AattemptL,0,0,0,1,0,0
546,MAH00544,XMO,1579,1,MOR-GGM,No,770,770,874,874,AattemptL,0,0,0,1,0,0
512,MAH00544,XMO,1579,1,MOR-GGM,No,813,813,839,839,OCattemptD,0,0,1,1,0,1
552,MAH00544,XMO,1579,1,MOR-GGM,No,839,839,893,893,OAattemptL,0,0,1,1,0,1
539,MAH00544,XMO,1579,1,MOR-GGM,No,980,980,1003,1003,AattemptL,0,0,0,1,0,0
527,MAH00544,XMO,1579,1,MOR-GGM,No,1166,1166,1172,1172,OBattemptD,0,0,1,1,0,1
507,MAH00544,XMO,1579,1,MOR-GGM,No,1172,1172,1180,1180,OCattemptD,0,0,1,1,0,1
514,MAH00544,XMO,1579,1,MOR-GGM,No,1282,1282,1290,1290,ODpush,0,1,0,0,0,1
529,MAH00544,XMO,1579,1,MOR-GGM,No,1293,1293,1302,1302,Dpush,1,0,0,0,1,0
518,MAH00544,XMO,1579,1,MOR-GGM,No,1430,1430,1437,1437,Dpush,1,0,0,0,1,0
551,MAH00544,XMO,1579,1,POW-RXR,Yes,680,680,685,685,OAattemptL,0,0,1,1,0,1
526,MAH00544,XMO,1579,1,WOX-RMM,Yes,425,425,429,429,OB,0,0,1,0,0,1
542,MAH00544,XMO,1579,1,WOX-RMM,Yes,482,482,483,483,Bscrounge,1,0,0,0,0,0
522,MAH00544,XMO,1579,1,WOX-RMM,Yes,600,600,605,605,Bscrounge,1,0,0,0,0,0
515,MAH00544,XMO,1579,1,WOX-RMM,Yes,649,649,661,661,Bscrounge,1,0,0,0,0,0
538,MAH00544,XMO,1579,1,WOX-RMM,Yes,737,737,741,741,Dpush,1,0,0,0,1,0
540,MAH00544,XMO,1579,1,WOX-RMM,Yes,770,770,874,874,OAattemptL,0,0,1,1,0,1
532,MAH00544,XMO,1579,1,WOX-RMM,Yes,1151,1151,1159,1159,OBattemptL,0,0,1,1,0,1
525,MAH00544,XMO,1579,1,WOX-RMM,Yes,1159,1159,1166,1166,OAattemptD,0,0,1,1,0,1
530,MAH00544,XMO,1579,1,WOX-RMM,Yes,1282,1282,1290,1290,Dpush,1,0,0,0,1,0
508,MAH00544,XMO,1579,1,WOX-RMM,Yes,1395,1395,1397,1397,ODpush,0,1,0,0,0,1
545,MAH00544,XMO,1579,1,X-ROR,Yes,325,325,325,325,OCattemptD,0,0,1,1,0,1
548,MAH00544,XMO,1579,1,X-ROR,Yes,346,346,347,347,OBupT,0,0,1,0,0,1
544,MAH00544,XMO,1579,1,X-ROR,Yes,456,456,456,456,Bscrounge,1,0,0,0,0,0
543,MAH00544,XMO,1579,1,X-ROR,Yes,770,770,874,874,OAattemptL,0,0,1,1,0,1
