Day ,Sex,Cricket,Mass,Pronotum width,Development time,Lifespan,RMR,Emerge,Latency to emerge,Distance moved,Near duration,Middle duration,Far duration,Time in arena
14,M,D14-M06,0.5608,0.611,15,40,1.037,1,376.6,538.9700148,107.04,125.96,114.68,347.68
14,M,D14-M07,0.6287,0.654,14,26,0.4917,1,173.8,773.8900896,180.96,156.68,108.28,445.92
14,M,D14-M08,0.5844,0.637,14,41,0.7768,0,600,0,0,0,0,0
14,M,D14-M09,0.5941,0.644,14,28,0.612,1,93.08,320.4077892,54.44,43.28,20.68,118.4
14,M,D14-M10,0.4899,0.594,15,63,0.5514,0,600,0,0,0,0,0
14,M,D14-M11,0.5086,0.619,14,15,0.9164,1,93.44,1510.149014,139.56,236.28,107.72,483.56
14,M,D14-M12,0.4551,0.605,14,32,0.3892,0,600,0,0,0,0,0
14,M,D14-M13,0.5925,0.641,15,32,0.7838,1,34.72,158.7790128,205.84,0,0,205.84
14,M,D14-M14,0.5491,0.652,15,41,0.5129,1,240.88,269.65434,137.64,63.32,21.6,222.56
14,M,D14-M15,0.5545,0.602,14,21,0.8248,0,600,0,0,0,0,0
14,M,D14-M16,0.6251,0.651,14,37,0.75,0,600,0,0,0,0,0
14,M,D14-M18,0.3888,0.518,15,19,0.8188,1,337.72,213.0529476,44.48,123.64,42.16,210.28
14,M,D14-M19,0.474,0.599,15,18,1.1614,1,434.8,460.7161392,102.72,124,100.56,327.28
14,M,D14-M21,0.4464,0.634,15,38,0.5152,0,600,0,0,0,0,0
14,M,D14-M22,0.6054,0.687,14,43,0.6085,1,135.04,11.9144472,6.84,0,0,6.84
14,M,D14-M23,0.4822,0.581,16,59,0.4886,0,600,0,0,0,0,0
14,M,D14-M24,0.5513,0.631,14,31,0.5029,1,114,200.2879188,170.08,50.84,0,220.92
14,M,D14-M25,0.5613,0.621,16,48,0.6021,1,44.4,1297.204846,126.48,156.08,129.2,411.76
14,M,D14-M26,0.6,0.645,15,27,0.95,1,469.96,1087.795398,139.16,178.76,90.72,408.64
14,M,D14-M27,0.4982,0.601,16,39,0.7858,1,39.76,797.2054236,87.68,157.4,79.04,324.12
