bird_id,bird,year,sex,cohort,age,tarsus,weight,body_cond,handling,ret_latency,time,time_minutes,session,in_ses_trial,cumul_site,distance,angle,height,worms_ate,,
4,Spark,2021,1,2014,7,32.7,28,0.856269113,5.753,,10:05,605,3,3,1,2.6,188,1.3,,,
4,Spark,2021,1,2014,7,32.7,28,0.856269113,2.999,,10:05,605,3,4,1,2.6,188,1.3,,,
4,Spark,2021,1,2014,7,32.7,28,0.856269113,4.997,,10:05,605,3,5,1,2.6,188,1.3,,,
5,Robbie,2020,1,2016,4,34.8,29.7,0.853448276,4.015,6,13:09,789,1,1,1,1.6,173,0.9,5,,
5,Robbie,2020,1,2016,4,34.8,29.7,0.853448276,7.751,6,13:09,789,1,2,2,4.6,31,2.8,5,,
5,Robbie,2020,1,2016,4,34.8,29.7,0.853448276,3.754,6,13:09,789,1,3,1,1.6,173,0.9,5,,
5,Robbie,2020,1,2016,4,34.8,29.7,0.853448276,2.753,6,13:09,789,1,4,1,1.6,173,0.9,5,,
5,Robbie,2020,1,2016,4,34.8,29.7,0.853448276,3.749,6,13:09,789,1,5,1,1.6,173,0.9,5,,
5,Robbie,2020,1,2016,4,34.8,30.7,0.882183908,7.746,24,11:40,700,2,1,1,3,10,0.9,7,,
5,Robbie,2020,1,2016,4,34.8,30.7,0.882183908,7.257,24,11:40,700,2,2,3,2.6,94,1.7,7,,
5,Robbie,2020,1,2016,4,34.8,30.7,0.882183908,8.258,24,11:40,700,2,3,1,3,10,0.9,7,,
5,Robbie,2020,1,2016,4,34.8,30.7,0.882183908,4.998,24,11:40,700,2,4,3,2.6,94,1.7,7,,
5,Robbie,2020,1,2016,4,34.8,30.7,0.882183908,5.849,24,11:40,700,2,5,3,2.6,94,1.7,7,,
5,Robbie,2020,1,2016,4,34.8,30.1,0.864942529,4.995,13,12:07,727,3,1,4,4.3,76,1.8,7,,
5,Robbie,2020,1,2016,4,34.8,30.1,0.864942529,11.009,13,12:07,727,3,2,5,2.9,242,1.7,7,,
5,Robbie,2020,1,2016,4,34.8,30.1,0.864942529,9.55,13,12:07,727,3,3,5,2.9,242,1.7,7,,
5,Robbie,2020,1,2016,4,34.8,30.1,0.864942529,4.002,13,12:07,727,3,4,4,4.3,76,1.8,7,,
5,Robbie,2020,1,2016,4,34.8,30.1,0.864942529,5.25,13,12:07,727,3,5,4,4.3,76,1.8,7,,
5,Robbie,2021,1,2016,5,34.8,28.8,0.827586207,10.75,,9:58,598,1,1,1,3.4,120,1.8,,,
5,Robbie,2021,1,2016,5,34.8,28.8,0.827586207,7.995,,9:58,598,1,2,1,3.4,120,1.8,,,
5,Robbie,2021,1,2016,5,34.8,28.8,0.827586207,6.75,,9:58,598,1,3,1,3.4,120,1.8,,,
5,Robbie,2021,1,2016,5,34.8,28.8,0.827586207,26.518,,9:58,598,1,4,2,2.9,107,0.8,,,
5,Robbie,2021,1,2016,5,34.8,28.8,0.827586207,6.498,,9:58,598,1,5,1,3.4,120,1.8,,,
