ID,SESSION,SPP,SKY_COND,TRT,GRID,PROP.1,PROP.3,PROP.6,PROP.9,X1ST.CHOICE,REMOVE,CONS,RECOVERED..Y.N.,CACHE_SITE,SEED_FATE,DIST..MOVED,SIZE.REM,AGE,Net_weight,SEX,REP,HANDLING,Mean.speed,Prop.time.groom,Rear...rate,Prop.time.center,CI,LATENCY.TO.EMERGE..sec..y,TIME.AT.END.OF.TUNNEL..sec..y,DISTANCE_TO_BARYCENTER,CONES,SHRUBS,METERS.CWD,X.CANOPY,ILLUMINATION_PERCENT,Degree_uncertainty
982000410167491,2,PM,-1.178256995,SH,10,1,0.5,0,0.5,NA,0,0,NA,NA,NA,NA,NA,AD,20,M,YES,1.745107979,-1.486208687,1.975861839,-1.525059,-1.132476571,13.69129795,-1.671646379,-1.376425736,1.720500244,-0.33363693,-0.321247413,-0.691847327,-2.118552259,-1.113772827,1
982000410167491,2,PM,-1.178256995,SH,10,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,AD,20,M,YES,1.745107979,-1.486208687,1.975861839,-1.525059,-1.132476571,13.69129795,-1.671646379,-1.376425736,2.67872016,-0.33363693,-0.529687411,0.279055414,0.102087111,-1.123644529,1
982000410167491,3,PM,-1.178256995,SH,10,0,0,0,0.5,9,0,1,NA,NA,NA,NA,NA,NA,NA,M,NA,1.745107979,-1.486208687,1.975861839,-1.525059,-1.132476571,NA,-1.671646379,-1.376425736,NA,-0.33363693,-0.425467412,-1.123359656,0.232712961,-0.722195314,1
982000410167491,3,PM,-0.386492018,SH,10,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,NA,1.745107979,-1.486208687,1.975861839,-1.525059,-1.132476571,NA,-1.671646379,-1.376425736,NA,-0.33363693,-0.425467412,-1.123359656,0.232712961,-0.722195314,1
982000410167491,3,PM,-1.178256995,SH,10,0,0,0,0.5,9,1,1,NA,NA,NA,NA,NA,NA,NA,M,NA,1.745107979,-1.486208687,1.975861839,-1.525059,-1.132476571,NA,-1.671646379,-1.376425736,NA,-0.33363693,-0.425467412,-1.123359656,0.232712961,-0.722195314,1
982000410167491,3,PM,0.40527296,SH,10,0,0,0,0.5,9,1,0,Y,ON GROUND,2,1037,9,NA,NA,M,NA,1.745107979,-1.486208687,1.975861839,-1.525059,-1.132476571,NA,-1.671646379,-1.376425736,NA,-0.33363693,-0.425467412,-1.123359656,0.232712961,-0.722195314,0
982000410167491,3,PM,-1.178256995,SH,10,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,NA,1.745107979,-1.486208687,1.975861839,-1.525059,-1.132476571,NA,-1.671646379,-1.376425736,NA,-0.33363693,-0.425467412,-0.799725409,0.885842185,-0.475402764,0
982000410167491,3,PM,-1.178256995,SH,10,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,NA,1.745107979,-1.486208687,1.975861839,-1.525059,-1.132476571,NA,-1.671646379,-1.376425736,NA,-0.33363693,-0.529687411,-0.691847327,1.408345571,-0.475402764,0
982000410167498,2,PM,0.40527296,SH,6,1,1,1,0.5,6,1,0,Y,CWD,1,105,6,AD,19,M,YES,2.004555048,-1.320956413,0.166148293,-1.390317567,-0.959612131,16.73497753,-1.671646379,-1.376425736,0.050858609,1.059235481,0.095632583,-0.476091162,0.232712961,-1.008474672,0
982000410167498,2,PM,0.40527296,SH,6,1,1,0.5,0.5,NA,0,0,NA,NA,NA,NA,NA,AD,19,M,YES,2.004555048,-1.320956413,0.166148293,-1.390317567,-0.959612131,16.73497753,-1.671646379,-1.376425736,0.050858609,1.059235481,0.095632583,-0.476091162,0.232712961,-1.008474672,1
982000410167498,2,PM,-1.178256995,SH,6,1,0.5,1,1,NA,0,0,NA,NA,NA,NA,NA,AD,19,M,YES,2.004555048,-1.320956413,0.166148293,-1.390317567,-0.959612131,16.73497753,-1.671646379,-1.376425736,0.815116989,1.059235481,-0.008587416,-1.015481574,-2.379803946,-0.593863188,0
982000410167513,2,PM,0.40527296,SH,10,1,1,1,1,NA,0,0,NA,NA,NA,NA,NA,SU,14.5,M,NO,-0.486136817,0.207627128,0.009926662,0.608347035,0.818422115,16.38377065,0.130303699,0.808132709,0.781326825,-0.33363693,-0.321247413,0.063299249,-1.987926409,-0.268097022,1
982000410167513,2,PM,1.197037937,SH,10,1,1,1,1,3,1,0,Y,TREE BASE,4,930,3,SU,14.5,M,NO,-0.486136817,0.207627128,0.009926662,0.608347035,0.818422115,16.38377065,0.130303699,0.808132709,0.781326825,-0.33363693,-0.321247413,0.063299249,-1.987926409,-0.268097022,0
982000410167513,2,PM,0.40527296,SH,10,0.5,0,0.5,0,6,1,0,Y,SITE,1,10,6,SU,14.5,M,NO,-0.486136817,0.207627128,0.009926662,0.608347035,0.818422115,16.38377065,0.130303699,0.808132709,0.491617748,-0.33363693,-0.425467412,-0.260334998,-0.420416263,-1.024927509,1
982000410167513,2,PM,0.40527296,SH,10,0.5,0,0,0,NA,0,0,NA,NA,NA,NA,NA,SU,14.5,M,NO,-0.486136817,0.207627128,0.009926662,0.608347035,0.818422115,16.38377065,0.130303699,0.808132709,0.491617748,-0.33363693,-0.425467412,-0.260334998,-0.420416263,-1.024927509,0
