"","ID","Time1","Time2","observe","Attm","success","Group","testVal"
"219","KPX-BSP",1003,1035,0,0,0,"UC",0
"220","KPX-BSP",1035,1070,0,1,0,"UC",0
"221","KVV-BPX",0,153,0,0,0,"TK",0
"222","KVV-BPX",153,284,0,0,0,"TK",0
"223","KVV-BPX",284,303,0,0,0,"TK",0
"224","KVV-BPX",303,325,0,0,0,"TK",0
"225","KVV-BPX",325,343,0,0,0,"TK",0
"226","KVV-BPX",343,386,0,0,0,"TK",0
"227","KVV-BPX",386,388,0,0,0,"TK",0
"228","KVV-BPX",388,396,0,0,0,"TK",0
"229","KVV-BPX",396,399,0,0,0,"TK",0
"230","KVV-BPX",399,402,0,0,0,"TK",0
"231","KVV-BPX",402,410,0,0,0,"TK",0
"232","KVV-BPX",410,417,0,0,0,"TK",0
"233","KVV-BPX",417,461,0,0,0,"TK",0
"234","KVV-BPX",461,481,0,0,0,"TK",0
"235","KVV-BPX",481,484,0,0,0,"TK",0
"236","KVV-BPX",484,485,0,0,0,"TK",0
"237","KVV-BPX",485,495,0,0,0,"TK",0
"238","KVV-BPX",495,499,0,0,0,"TK",0
"239","KVV-BPX",499,534,0,0,0,"TK",0
"240","KVV-BPX",534,571,0,0,0,"TK",0
"241","KVV-BPX",571,576,0,0,0,"TK",0
"242","KVV-BPX",576,750,0,0,0,"TK",0
"243","KVV-BPX",750,760,0,0,0,"TK",0
"244","KVV-BPX",760,769,0,0,0,"TK",0
"245","KVV-BPX",769,773,0,0,0,"TK",0
"246","KVV-BPX",773,797,0,0,0,"TK",0
"247","KVV-BPX",797,817,0,0,0,"TK",0
"248","KVV-BPX",817,821,0,0,0,"TK",0
"249","KVV-BPX",821,829,0,0,0,"TK",0
"250","KVV-BPX",829,839,0,0,0,"TK",0
"251","KVV-BPX",839,851,0,0,0,"TK",0
"252","KVV-BPX",851,874,0,0,0,"TK",0
"253","KVV-BPX",874,893,0,0,0,"TK",0
"254","KVV-BPX",893,917,0,0,0,"TK",0
"255","KVV-BPX",917,934,0,0,0,"TK",0
"256","KVV-BPX",934,938,0,0,0,"TK",0
"257","KVV-BPX",938,971,0,0,0,"TK",0
"258","KVV-BPX",971,987,0,0,0,"TK",0
"259","KVV-BPX",987,1002,0,0,0,"TK",0
"260","KVV-BPX",1002,1003,0,0,0,"TK",0
"261","KVV-BPX",1003,1035,0,0,0,"TK",0
"262","KVV-BPX",1035,1070,0,0,0,"TK",0
"263","KVV-BPX",1070,1085,0,0,0,"TK",0
"264","KVV-BPX",1085,1089,0,0,0,"TK",0
"265","KVV-BPX",1089,1108,0,0,0,"TK",0
"266","KVV-BPX",1108,1112,0,0,0,"TK",0
"267","KVV-BPX",1112,1118,0,0,0,"TK",0
"268","KVV-BPX",1118,1168,0,0,0,"TK",0
"269","KVV-BPX",1168,1172,0,0,0,"TK",0
"270","KVV-BPX",1172,1180,0,0,0,"TK",0
"271","KVV-BPX",1180,1204,0,0,0,"TK",0
"272","KVV-BPX",1204,1290,0,0,0,"TK",0
"273","KVV-BPX",1290,1302,0,0,0,"TK",0
"274","KVV-BPX",1302,1399,0,0,0,"TK",0
"275","KVV-BPX",1399,1427,0,0,0,"TK",0
"276","KVV-BPX",1427,1437,0,0,0,"TK",0
"277","KVV-BPX",1437,1462,0,0,0,"TK",0
"278","KVV-BPX",1462,1481,0,0,0,"TK",0
"279","KVV-BPX",1481,1509,0,0,0,"TK",0
"280","KVV-BPX",1509,1528,0,0,0,"TK",0
"281","KVV-BPX",1528,1558,0,0,0,"TK",0
"282","KVV-BPX",1558,1568,0,0,0,"TK",0
"283","KVV-BPX",1568,1580,0,0,0,"TK",0
"284","KVV-BPX",1580,1815,0,0,0,"TK",0
"285","KVV-BPX",1815,1853,0,0,0,"TK",0
"286","KVV-BPX",1853,2023,0,0,0,"TK",0
"287","KVV-BPX",2023,2062,0,0,0,"TK",0
"288","KVV-BPX",2062,2386,0,0,0,"TK",0
"289","KVV-BPX",2386,2392,0,0,0,"TK",0
"290","KVV-BPX",2392,2407,0,0,0,"TK",0
"291","KVV-BPX",2407,2599,0,0,0,"TK",0
"292","KVV-BPX",2599,2608,0,0,0,"TK",0
"293","KVV-BPX",2608,2617,0,0,0,"TK",0
"294","KVV-BPX",2617,2665,0,0,0,"TK",0
"295","KVV-BPX",2665,2695,0,0,0,"TK",0
"296","KVV-BPX",2695,2826,0,0,0,"TK",0
"297","KVV-BPX",2826,2888,0,0,0,"TK",0
"298","KVV-BPX",2888,2929,0,0,0,"TK",0
"299","KVV-BPX",2929,2943,0,0,0,"TK",0
"300","KVV-BPX",2943,3102,0,0,0,"TK",0
"301","KVV-BPX",3102,3113,0,0,0,"TK",0
"302","KVV-BPX",3113,3138,0,0,0,"TK",0
"303","KVV-BPX",3138,3153,0,0,0,"TK",0
"304","KVV-BPX",3153,3178,0,0,0,"TK",0
"305","KVV-BPX",3178,3204,0,0,0,"TK",0
"306","KVV-BPX",3204,3315,0,0,0,"TK",0
"307","KVV-BPX",3315,3334,0,0,0,"TK",0
"308","KVV-BPX",3334,3593,0,0,0,"TK",0
"309","KVV-BPX",3593,3857,0,0,0,"TK",0
"310","KVV-BPX",3857,3864,0,0,0,"TK",0
