"","ID","Time1","Time2","observe","Attm","success","Group","testVal"
"147","GVX-GSS",7881,8301,1,1,0,"UC",0
"148","GVX-GSS",8301,8372,1,1,0,"UC",0
"149","KBV-GKX",0,153,0,0,0,"KI",0
"150","KBV-GKX",153,284,0,0,0,"KI",0
"151","KBV-GKX",284,303,0,0,0,"KI",0
"152","KBV-GKX",303,325,0,0,0,"KI",0
"153","KBV-GKX",325,343,0,0,0,"KI",0
"154","KBV-GKX",343,386,0,0,0,"KI",0
"155","KBV-GKX",386,388,0,0,0,"KI",0
"156","KBV-GKX",388,396,0,0,0,"KI",0
"157","KBV-GKX",396,399,0,0,0,"KI",0
"158","KBV-GKX",399,402,0,0,0,"KI",0
"159","KBV-GKX",402,410,0,0,0,"KI",0
"160","KBV-GKX",410,417,0,0,0,"KI",0
"161","KBV-GKX",417,461,0,0,0,"KI",0
"162","KBV-GKX",461,481,0,0,0,"KI",0
"163","KBV-GKX",481,484,0,0,0,"KI",0
"164","KBV-GKX",484,485,0,0,0,"KI",0
"165","KBV-GKX",485,495,0,0,0,"KI",0
"166","KBV-GKX",495,499,0,1,0,"KI",0
"167","KBV-GKX",499,534,1,1,0,"KI",0
"168","KBV-GKX",534,571,1,1,0,"KI",0
"169","KBV-GKX",571,576,1,1,0,"KI",0
"170","KBV-GKX",576,750,1,1,0,"KI",0
"171","KBV-GKX",750,760,1,1,0,"KI",0
"172","KBV-GKX",760,769,1,1,0,"KI",0
"173","KBV-GKX",769,773,1,1,0,"KI",0
"174","KBV-GKX",773,797,1,1,0,"KI",0
"175","KBV-GKX",797,817,1,1,0,"KI",0
"176","KBV-GKX",817,821,1,1,0,"KI",0
"177","KBV-GKX",821,829,1,1,0,"KI",0
"178","KBV-GKX",829,839,1,1,0,"KI",0
"179","KBV-GKX",839,851,1,1,0,"KI",0
"180","KBV-GKX",851,874,1,1,0,"KI",0
"181","KBV-GKX",874,893,1,1,0,"KI",0
"182","KBV-GKX",893,917,1,1,0,"KI",0
"183","KBV-GKX",917,934,1,1,0,"KI",0
"184","KBV-GKX",934,938,1,1,1,"KI",0
"185","KPV-GWX",0,153,0,0,0,"HI",0
"186","KPV-GWX",153,284,0,0,0,"HI",0
"187","KPV-GWX",284,303,0,0,0,"HI",0
"188","KPV-GWX",303,325,0,0,0,"HI",0
"189","KPV-GWX",325,343,0,0,0,"HI",0
"190","KPV-GWX",343,386,0,0,0,"HI",0
"191","KPV-GWX",386,388,0,0,0,"HI",0
"192","KPV-GWX",388,396,0,0,0,"HI",0
"193","KPV-GWX",396,399,0,0,0,"HI",0
"194","KPV-GWX",399,402,0,0,0,"HI",0
"195","KPV-GWX",402,410,0,0,0,"HI",0
"196","KPV-GWX",410,417,0,0,0,"HI",0
"197","KPV-GWX",417,461,0,0,0,"HI",0
"198","KPV-GWX",461,481,0,0,0,"HI",0
"199","KPV-GWX",481,484,0,0,0,"HI",0
"200","KPV-GWX",484,485,0,0,0,"HI",0
"201","KPV-GWX",485,495,0,0,0,"HI",0
"202","KPV-GWX",495,499,0,0,0,"HI",0
"203","KPV-GWX",499,534,0,0,0,"HI",0
"204","KPV-GWX",534,571,0,0,0,"HI",0
"205","KPV-GWX",571,576,0,0,0,"HI",0
"206","KPV-GWX",576,750,0,0,0,"HI",0
"207","KPV-GWX",750,760,0,0,0,"HI",0
"208","KPV-GWX",760,769,0,0,0,"HI",0
"209","KPV-GWX",769,773,0,0,0,"HI",0
"210","KPV-GWX",773,797,0,0,0,"HI",0
"211","KPV-GWX",797,817,0,0,0,"HI",0
"212","KPV-GWX",817,821,0,0,0,"HI",0
"213","KPV-GWX",821,829,0,0,0,"HI",0
"214","KPV-GWX",829,839,0,0,0,"HI",0
"215","KPV-GWX",839,851,0,0,0,"HI",0
"216","KPV-GWX",851,874,0,0,0,"HI",0
"217","KPV-GWX",874,893,0,0,0,"HI",0
"218","KPV-GWX",893,917,0,0,0,"HI",0
"219","KPV-GWX",917,934,0,0,0,"HI",0
"220","KPV-GWX",934,938,0,0,0,"HI",0
"221","KPV-GWX",938,971,0,0,0,"HI",0
"222","KPV-GWX",971,987,0,0,0,"HI",0
"223","KPV-GWX",987,1002,0,0,0,"HI",0
"224","KPV-GWX",1002,1003,0,0,0,"HI",0
"225","KPV-GWX",1003,1035,0,0,0,"HI",0
"226","KPV-GWX",1035,1070,0,0,0,"HI",0
"227","KPV-GWX",1070,1085,0,0,0,"HI",0
"228","KPV-GWX",1085,1089,0,0,0,"HI",0
"229","KPV-GWX",1089,1108,0,0,0,"HI",0
"230","KPV-GWX",1108,1112,0,0,0,"HI",0
"231","KPV-GWX",1112,1118,0,0,0,"HI",0
"232","KPV-GWX",1118,1168,0,0,0,"HI",0
"233","KPV-GWX",1168,1172,0,0,0,"HI",0
"234","KPV-GWX",1172,1180,0,0,0,"HI",0
"235","KPV-GWX",1180,1204,0,0,0,"HI",0
"236","KPV-GWX",1204,1290,0,0,0,"HI",0
"237","KPV-GWX",1290,1302,0,0,0,"HI",0
"238","KPV-GWX",1302,1399,0,0,0,"HI",0
"239","KPV-GWX",1399,1427,0,0,0,"HI",0
"240","KPV-GWX",1427,1437,0,0,0,"HI",0
"241","KPV-GWX",1437,1462,0,0,0,"HI",0
"242","KPV-GWX",1462,1481,0,0,0,"HI",0
"243","KPV-GWX",1481,1509,0,0,0,"HI",0
"244","KPV-GWX",1509,1528,0,0,0,"HI",0
"245","KPV-GWX",1528,1558,0,0,0,"HI",0
"246","KPV-GWX",1558,1568,0,0,0,"HI",0
"247","KPV-GWX",1568,1580,0,0,0,"HI",0
"248","KPV-GWX",1580,1815,0,0,0,"HI",0
"249","KPV-GWX",1815,1853,0,0,0,"HI",0
"250","KPV-GWX",1853,2023,0,0,0,"HI",0
"251","KPV-GWX",2023,2062,0,0,0,"HI",0
"252","KPV-GWX",2062,2386,0,0,0,"HI",0
"253","KPV-GWX",2386,2392,0,0,0,"HI",0
"254","KPV-GWX",2392,2407,0,0,0,"HI",0
"255","KPV-GWX",2407,2599,0,0,0,"HI",0
"256","KPV-GWX",2599,2608,0,0,0,"HI",0
"257","KPV-GWX",2608,2617,0,0,0,"HI",0
"258","KPV-GWX",2617,2665,0,0,0,"HI",0
"259","KPV-GWX",2665,2695,0,0,0,"HI",0
"260","KPV-GWX",2695,2826,0,0,0,"HI",0
"261","KPV-GWX",2826,2888,0,0,0,"HI",0
"262","KPV-GWX",2888,2929,0,0,0,"HI",0
"263","KPV-GWX",2929,2943,0,0,0,"HI",0
"264","KPV-GWX",2943,3102,0,0,0,"HI",0
"265","KPV-GWX",3102,3113,0,0,0,"HI",0
"266","KPV-GWX",3113,3138,0,0,0,"HI",0
"267","KPV-GWX",3138,3153,0,0,0,"HI",0
"268","KPV-GWX",3153,3178,0,0,0,"HI",0
"269","KPV-GWX",3178,3204,0,0,0,"HI",0
"270","KPV-GWX",3204,3315,0,0,0,"HI",0
"271","KPV-GWX",3315,3334,0,0,0,"HI",0
"272","KPV-GWX",3334,3593,0,0,0,"HI",0
"273","KPV-GWX",3593,3857,0,0,0,"HI",0
"274","KPV-GWX",3857,3864,0,0,0,"HI",0
"275","KPV-GWX",3864,3885,0,0,0,"HI",0
"276","KPV-GWX",3885,3918,0,0,0,"HI",0
"277","KPV-GWX",3918,3937,0,0,0,"HI",0
"278","KPV-GWX",3937,3977,0,0,0,"HI",0
"279","KPV-GWX",3977,3990,0,0,0,"HI",0
"280","KPV-GWX",3990,4051,0,0,0,"HI",0
"281","KPV-GWX",4051,4055,0,0,0,"HI",0
"282","KPV-GWX",4055,4059,0,0,0,"HI",0
"283","KPV-GWX",4059,4114,0,0,0,"HI",0
"284","KPV-GWX",4114,4165,0,0,0,"HI",0
"285","KPV-GWX",4165,4467,0,0,0,"HI",0
"286","KPV-GWX",4467,4531,0,0,0,"HI",0
"287","KPV-GWX",4531,4732,0,0,0,"HI",0
"288","KPV-GWX",4732,4916,0,0,0,"HI",0
"289","KPV-GWX",4916,4930,0,0,0,"HI",0
"290","KPV-GWX",4930,4955,0,0,0,"HI",0
"291","KPV-GWX",4955,4964,0,0,0,"HI",0
"292","KPV-GWX",4964,4988,0,0,0,"HI",0
"293","KPV-GWX",4988,5034,0,0,0,"HI",0
"294","KPV-GWX",5034,5393,0,0,0,"HI",0
"295","KPV-GWX",5393,5480,0,0,0,"HI",0
"296","KPV-GWX",5480,5580,0,0,0,"HI",0
"297","KPV-GWX",5580,6101,0,1,0,"HI",0
"298","KPV-GWX",6101,6128,1,1,0,"HI",0
"299","KPV-GWX",6128,6133,1,1,0,"HI",0
